balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,," 2 , 2 ",1974,"Wir bieten Ihnen hier eine solide vermietete und gut gepflegte 3 Zimmer Wohnung in zentraler Lage von Unterschleißheim. Das Objekt liegt im Erdgeschoss-Hochparterre eines im Jahre 1974 erbauten Mehrfamilienhauses.
Die Fenster des Hauses wurden bereits in moderne Kunststoff-Fenster getauscht und die Fassade wird derzeit neu gestaltet, somit wird der Bau demnächst im Glanze eines Neubaus Erstrahlen. In der Wohnung selbst, wurde vor kurzem ein neuer, moderner Laminatboden verlegt.

Nun kommen Sie herein und fühlen Sie sich wie Zuhause. Die Wohnung betreten Sie über die großzügige Diele, die eine praktische Garderoben-Nische aufweist. Der nächste Durchgang bringt Sie in den Vorraum, von hier aus gelangen Sie in den Abstellraum und in das Badezimmer. Das Bad ist mit Wanne, WC, Waschbecken und dem Waschmaschinenanschluss ausgestattet. Einen Raum weiter stehen Sie im großen Schlafzimmer. Ein großes Bett und ein großer Kleiderschrank finden hier leicht ihren Platz. Nebenan ist gleich das helle Kinderzimmer. Die Diele schließt an die offene Küche an und schafft somit Platz für Ihren Essbereich. Durch die Küchen-Dielen-Kombi erweitert sich die Wohnung um einen großen und gemütlichen Raum, der hervorragend für behagliche Abende genutzt werden kann. Der letzte Raum ist das sehr großzügig geschnittene Wohnzimmer. Der große Raum bietet Platz für Ihre Wohnecke und eine Arbeitsecke. Wenn Sie die zwei Bereiche optisch von einander trennen, schaffen Sie noch einen weiteren Raum! Die nach Süd-Westen ausgerichtete Loggia erreichen Sie über das Wohnzimmer, an schönen Abenden lädt der Bereich zum Verweilen ein.

Zu dem Objekt gehört ein Einzelstellplatz in der Tiefgarage (KP 25.000,00 €). Auch ist im Keller ein Abteil dieser Wohnung zugehörig. Die verbaute Küche ist Eigentum des Mieters. Aktuell erwirtschaftet die Wohnung eine Kaltmiete von 1.100,00 € im Monat. Die Kosten der Modernisierungsmaßnahmen sind bereits durch die Wohnungs-Eigentümer-Gemeinschaft beglichen worden!",,,,, 89 m² ,, Öl , Hochparterre ," 3,5 ", 
,,,,"Auf über 94 m² verteilen sich 4 Zimmer im Erdgeschoss eines modernen Wohn- und Geschäftshauses in sehr ruhiger und doch äußerst zentraler Lage von Planegg.

Die rückwärtig gelegene Wohnung besticht durch den individuellen Grundriss, die hervorragende Lage sowie dem wunderschönen Südgrundstück. 

Ein eigener Zugang führt in die Diele mit Gäste-WC und Garderobe. Von hier gelangt man durch eine Glastür zum Wohnzimmer mit offenem Küchenbereich, der mit einer modernen Einbauküche ausgestattet ist. Große Fensterelemente lassen den Übergang zwischen Wohnraum und Garten fließend erscheinen und vermitteln ein angenehmes Wohngefühl. Die ursprüngliche Planung sieht im Anschluss an das Wohnzimmer ein Esszimmer vor, welches in der jetzigen Nutzung durch ein maßgefertigtes Bücherregal als Schlafzimmer abgeteilt ist.

Der rückwärtige, private Bereich der Wohnung verfügt über einen Flur, von dem aus das Masterbad sowie zwei Schlafzimmer zu erreichen sind. Vom hinteren Schlafzimmer aus gelangt man in einen weiteren Raum, der individuell als Ankleide oder als Büro genutzt werden kann. 

Alle Wohn- und Schlafräume sind nach Süden ausgerichtet und bieten Zugang zum gepflegten und schön eingewachsenen Südgarten mit ca. 240m². Ein Apfelbaum spendet angenehmen Schatten und die große Terrasse lädt zu entspannten Stunden ein.

Neben der hervorragenden dennoch sehr ruhigen Lage inmitten des Ortszentrums von Planegg und der damit fußläufigen Erreichbarkeit von diversen Geschäften und Ärzten sowie der S-Bahn ist die schwellenfreie Bauweise hervorzuheben, die einen entsprechenden Zugang zur Wohnung und zur Tiefgarage, auch über einen Aufzug, ermöglicht.",,,,," 93,66 m² ",,, Erdgeschosswohnung , 2 Tiefgaragen-Stellplätze , 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 63,43 m² ",,, Etagenwohnung ," 2,5 ", 
,," 2 , 2 ",1988,"Die derzeit noch vermietet Wohnung befindet sich in einem Mehrfamilienhaus.

Großzügiges Wohnzimmer mit ca. 25m², mit Zugang zur Essecke. Diese ist an die Küche angrenzend. 

Das Bad ist mit Wanne und WM-Anschluss ausgestattet. Das WC ist separat.

Ein Abstellraum erspart den Weg in den Keller.

Die Wohnung wird voraussichtlich Mitte des Jahres 2020 frei.",,,,, 80 m² ,," 126,9 kWh/(m²*a) ", Etagenwohnung , 3 , 
,," 4 , 4 ",2011,"Die klassisch - elegante, perfekt geschnittene Vierzimmerwohnung befindet sich in einer sehr gepflegten Wohnanlage mit parkartiger, weitläufig grüner Umgebung in der für seine solide Bauqualität und geplante Großflächigkeit bekannten und begehrten ""Stumpfwiese"".
Die ausgesprochen helle und lichtdurchflutete Wohnung im 2. OG vereint Modernität und zeitlosen Komfort zu einer perfekten Symbiose.

Im Frühling, Sommer und Herbst können Sie den Tag sowie die Abendstunden auf dem nach Westen gerichteten Balkon ausklingen lassen - ein großer, quadratischer Balkon für Sonnenverwöhnte steht hierzu zur Verfügung. 

Sie betreten die lichtdurchflutete Wohnung über einen großzügigen Flur und gelangen linkerhand in das Wohnzimmer mit freiem Blick in grüne Baumkronen und das Grün des großen parkartigen Platzes...
Die angrenzend separate Küche ist mit einer umlaufenden, beigen Einbauküche mit Siemens-Einbaugeräten bestückt.

Gleich neben dem Eingangsbereich linkerhand befindet sich ein Duschbad sowie gegenüberliegend das Masterbad mit Wanne in zeitlosem Design (weiße Ausführung). Eines der drei Schlafzimmer wird durch einen kleinen Balkon gen Osten bereichert.

Ein Abstellraum in der Wohnung sowie das ca. 10m² große Kellerabteil und der Einzelstellplatz in der Tiefgarage runden das Gesamtangebot dieser Vierzimmerwohnung in der Stumpfwiese ab.
Der Kaufpreis setzt sich wie folgt zusammen: Kaufpreis Wohnungen 780.000 Euro + Tiefgaragenstellplatz 22.000 Euro = Gesamtkaufpreis 802.000 Euro.",,,,," 101,22 m² ",, Bedarfsausweis , Etagenwohnung , Nach Vereinbarung , 
,," 2 , 2 ",,"Es handelt sich um eine 3,5 Zimmer – Wohnung im Erdgeschoss rechts.

Die Wohnung verfügt über 2 Bäder, 3 Balkone, Küche mit großem Essplatz, 2 Schlafzimmer, 1 Wohnzimmer sowie einen Abstellraum/Ankleide.

Zu dieser Wohnung gehören noch 2 Kellerabteile.

EG
Ca. 104 m² Wohnfläche
3,5 Zimmer

Baujahr Gebäude 1976, Außen Fassade wurde 2015 modernisiert
Heizungsart Fernwärme
Energieausweis liegt vor 
Energieausweistyp Verbrauchsausweis (EVA) 
Endenergiebedarf 106,1 kWh/(m²*a) 
Energieeffizienzklasse D


Eine Besichtigung des Objekts ist nach Absprache möglich.

Alle Angaben ohne Gewähr.",,,,, 104 m² ,,, Sonstige , 2 , 
,," 4 , 4 ",,,,,,," 100,73 m² ",,, Dachgeschoss , 2020 ,
,," 2 , 2 ",1979,"Diese schöne Galeriewohnung befindet sich in einem kleinen Wohnhaus mit moderner Architektur in zentraler Lage in Neubiberg. Durch das helle Treppenhaus erreichen Sie die Wohnung im 2.Obergeschoss. Sie betreten die Wohnung über eine geräumige Diele. Der hieran angrenzende Wohnbereich mit offener Einbauküche (im Kaufpreis enthalten) wirkt besonders durch die Raumhöhe und die offenen Sichtbalken aus Holz hell und gemütlich. Über eine moderne Treppe gelangen Sie in den großzügigen Galeriebereich, welcher aufgrund seiner Fensterflächen und der Deckenhöhe ein idealer Arbeitsplatz oder auch ein Gästezimmer sein kann. Von hier aus haben Sie einen schönen Blick auf Ihren Wohnbereich.
Auf der ersten Ebene befindet sich ebenfalls ein großzügiges Schlafzimmer mit Ankleideraum und ein Duschbad mit Waschmaschinenanschluß. Der sich am Wohnzimmer befindende Balkon ist zum Süden ausgerichtet.
Die Wohnung eignet sich ideal für eine Einzelperson sowie auch für ein Paar. Die Wohnung ist vermietet. 
Die gesamte, äußerst gepflegte Außenanlage des Wohnhauses ist sehr attraktiv und liebevoll gestaltet.",,,,, 68 m² ,, liegt vor , Etagenwohnung , Nach Absprache , 
,," 1 , 1 ",,"Ihre neue Wohnung befindet sich im Erdgeschoss und Souterrain eines im Jahre 1997 errichteten Mehrfamilienhaus. Die Wohnanlage wurde stetig in Stand gehalten. Diese 1-Zimmer Wohnung überzeugt durch komplett ausgenutzten Wohnraum. Der Hobbyraum im Souterrain ist über eine Wendeltreppe mit dem Appartement verbunden. Die Wohnungseigentümergemeinschaft besteht aus insgesamt 56 Wohnungen, das Haus in dem sich die Wohnung befindet hat 14 Wohnungen auf 4 Etagen. 

Der Eingangsbereich ist durch einen kleinen Flur vom Wohnraum getrennt. Von dem Flur aus betritt man das weiß geflieste Badezimmer mit Badewanne. 
Der Wohnraum hat zum Garten hin eine große Fensterfront, welche viel Licht in das Zimmer lässt. Daran angeschlossen ist eine kleine zweckmäßige Küche. 

Vom Wohnraum gelangt man über eine Wendeltreppe in einen kleinen Flur vom Souterrain. 
Der ehemalige Hobbyraum mit ca. 22 qm im Souterrain dient  derzeit  als Schlafzimmer.

Die Wohnung ist noch bis zum 31.12.2019 befristet vermietet, die Mieterin würde jedoch gerne weiterhin dort wohnen bleiben. 

Die Miete setzt sich wie folgt zusammen:
Miete für die Wohnung 800,00 € 
Miete für den Tiefgaragen Einzelstellplatz 60,00 €
Betriebskostenvorauszahlung 100,00 €

Das monatliche Hausgeld beträgt derzeit 186,00 € (inkl. 18,51 € für die Rücklagenzuführung) 
Die Rücklagen betragen per 31.12.2018 für die Wohnungseigentümergemeinschaft: 74.659,80 €  -  rechnerischer Anteil der Wohnung 1.105,32 €",,,,," 48,8 m² ",,, Erdgeschosswohnung , sofort , 
,," 1 , 1 ",2020,,,,,," 63,19 m² ",, Bedarfsausweis , Etagenwohnung , 2 ,
,," 3,5 , 3,5 ",1974,"Einfach eine unglaubliche Wohnung. Sie werden staunen. Ursprünglich als Ladengeschäft konzipiert und genutzt, wurde dieses jedoch umgebaut in eine loftartige Wohnung. Aufgrund der vorhandenen Wohnraumbestätigung, kann nun diese Immobilie so genutzt werden, wie es Ihren persönlichen Bedürfnissen entspricht.",,,,, 180 m² ,,, Loft , nach Absprache , 
,," 2 , 2 ",1972,"Die angebotene Wohnung befindet sich im Erdgeschoss eines Dreifamilienhauses. Dieses wurde 1972 in einer Wohnsiedlung der Gemeinde Pullach erbaut und ist über eine private Zufahrtstraße mit dem PKW erreichbar. Die Immobilie befindet sich auf einem Flurstück der Gemarkung Pullach im Isartal des Amtsgerichtes München, mit einer Gesamtgrundstücksgröße von 1.048 m². Auf dem Grundstück befindet sich ein weiteres Gebäude (Doppelhaus). Die Aufteilung erfolgt nach dem Wohnungseigentumsgesetz. Insgesamt besteht die WEG somit aus 5 Einheiten. Beim Veräußerungsobjekt handelt es sich um das Sondereigentum Nr. 3.
Versorgt wird das Haus über eine Ölzentralheizung aus dem Jahre 1988. Alle drei Wohnungen sind derzeit vermietet.
Es ist ein Garagenanbau vorzufinden. Im Eingangsbereich wurde ein Raum für Mülltonnen und eine Abstellmöglichkeiten für Fahrräder geschaffen. 

Die helle 3-Zimmer-Gartenwohnung mit ca. 80,8 m² Wohnfläche plus ca. 23,5 m² Hobbyraum wurde ca. 2015 komplett modernisiert. 
Der Garten (Sondernutzungsrecht) ist direkt von der Wohnung bzw. der ca. 31 m² Terrasse aus zu begehen. 
Zur Erdgeschoss-Einheit gehören eine Einzelgarage und ein Kfz-Außenstellplatz.  Die Wohnung ist seit 01.03.2016 vermietet. Es wird derzeit eine monatliche Mieteinnahme i.H.v. 1.300,--€ zzgl. 225,--€ Nebenkosten-Vorauszahlung erzielt (mtl. Gesamt-Miete somit 1.525,--€).",,,,," 80,8 m² ",, Verbrauchsausweis , Erdgeschosswohnung , 3 , 
,," 1 , 1 ",1968,"Diese gemütliche 2-Zi. Wohnung in einer Wohnanlage mit 20 Einheiten ist seit vielen Jahren gut vermietet. Die Mieter schätzen die zentrale Wohnlage und fühlen sich wohl in der Wohnung.  
Der hübsche Balkon zum Süden bietet einen weiten Blick und der kleine Balkon beim Schlafzimmer ist ideal zum Wäschetrocknen und Lüften. Durch das kleine Zimmer, wäre die  Wohnung auch für eine kleine Familie geeignet.
Das Haus wurde 2009 in einigen Bereichen saniert. Aktuelle KM 580,- +196,-NK, letzte Erhöhung zum 1.3.2019",,,,," 57,1 m² ",, 185 kWh/(m²*a) ," 57,1 m² ", 2 , 
,,,,"Sie erreichen uns von Mo. - So. unter der Telefonnummer 089-90937947.

Wohnung Nr. 1 im EG und UG, 89/36 m² Wfl. bestehend aus 3 Zimmern, offener Küche im EG und wohnraumähnlichen ausgeb. Räumen im KG (über interne Spindeltreppe erreichbar, mit Terrasse und Gartenfläche (ca. 118 m²), sowie Außenstellplatz und TG-Stellplatz (15.000 €), Bj. 2007


Bitte kontaktieren Sie uns bei weiteren Fragen telefonisch, von Montag - Sonntag von 08:00 - 20:00 Uhr, unter der Telefonnummer 089-90937947.


Dieses Objekt wird beim zuständigen Amtsgericht versteigert.


Verkehrswert: 685.000,00 EUR.


Sichern Sie sich unter Umständen 30 % Nachlass auf den Verkehrswert und zahlen Sie somit für die oben genannte Immobilie nur 479.500,00 EUR. Ebenso entfallen Notarkosten und Maklercourtage.


Dies ist eine von bundesweit 25.000 interessanten Immobilien, die wir in der aktuellen, monatlichen Ausgabe unseres kostengünstigen IMMOBILIENVERSTEIGERUNGS-KATALOGES veröffentlichen. Sichern Sie sich jetzt diese Informationen um Ihre Wunschimmobilie preisgünstig zu erwerben.


Kataloginfos:
Telefonnummer 089-90937947.",,,,, 125 m² ,,, 125 m² ,, 
,," 3 , 3 ",2020,"Die Neubau Wohnung in München-Taufkirchen ist Teil eines Neubau Mehrfamilienhauses welches lediglich 7 Wohneinheiten beinhaltet, die sich auf drei Geschosse verteilen. Zudem gibt es eine große Tiefgarage mit Einzelstellplätzen. Das durchdachte Wohnkonzept verspricht den zukünftigen Bewohnern optimalen Lichteinfall. 
Geplant ist, dass die Wohnung bis Dezember 2020 bezugsfertig ist.
Eine tolle Besonderheit ist, dass ein eigener Gartenanteil vom Gesamtgrundstück mit einer Fläche von 135 m2 zur alleinigen Nutzung zur Wohnung gehört. Dieser ist ideal nach Süden ausgerichtet.",,,,, 72 m² ,,, Etagenwohnung , Dez. 2020 , 
,," 3 , 3 ",1966,"Die 3-Zimmer Wohnung verfügt über ca.101 m² Wohnfläche, welche sich auf Diele, Badezimmer,  Gäste WC, Schlafzimmer, Kinderzimmer oder Büro, Wohnzimmer, Küche und Terrasse verteilt. Die Wohnung ist nach Süd- Westen ausgerichtet. Der Zugang zum Gebäude und auch zur Wohnung ist barrierefrei. Alle Wohnräume haben einen direkten Zugang zur Terrasse, die die gesamte Wohnung umschließt. Durch die bodentiefen Fenster ist die Wohnung sehr lichtdurchflutet dadurch entsteht ein angenehmes Wohnambiente.
Das Haus ist immer sehr gepflegt worden und ist daher in einem guten Zustand. Die Tiefgarage wurde 2018 komplett neu saniert und modernisiert.

Die Wohnung wurde 2016 vom derzeitigen Eigentümer kernsaniert. Die Bäder, Böden und die Wände wurden mit viel Liebe zum Detail modernisiert.
Zur Wohnung gehört ein eigenes Kellerabteil. 
",,,,, 101 m² ,, Gas , Erdgeschosswohnung , Sofort , 
,," 2,5 , 2,5 ",1999,"Das gepflegte Wohnhaus aus dem Jahr 1999 mit Lift und Tiefgarage, liegt in einer ruhigen Anlie-gerstraße. Diese wundervolle und gut geschnittene Maisonette-Wohnung liegt im 2. Obergeschoss und Dachgeschoss. Von beiden Südbalkonen haben Sie einen schönen Ausblick. Alle Zimmer der hellen Wohnung sind nach Süden ausgerichtet. Die Wohnung verfügt über eine Küche mit Fenster, ein großzügiges Wohnzimmer mit Zugang zum Balkon, ein geräumiges Schlafzimmer, ein Kinderzimmer und zwei Bäder. Zur Wohnung gehören zwei großzügige Kellerabteile sowie zwei Duplex-Stellplätze in der Tiefgarage. Die Stellplätze können separat für je 16.000,00 EUR erworben werden. Der Zustand der Wohnung ist gepflegt. Die Teppichböden im Kinderzimmer wurden bereits entfernt und der neue Eigentümer kann nach Belieben den Bodenbelag wählen. Die Wohnung ist ab sofort bezugsfrei.",,,,, 86 m² ,, 79 kWh/(m²*a) , Dachgeschoss , ab sofort beziehbar , 
,," 2,5 , 2,5 ",,"Die schöne 2,5-Zimmer Wohnung befindet sich im 5. Stock eines gepflegten Mehrfamilienhaus in Oberschleißheim.

Vom Eingangsbereich befindet sich linker Hand ein kleiner Raum, welcher beispielsweise als Arbeitszimmer oder Gästezimmer genutzt werden kann. Daneben befindet sich die Küche, sowie das Schlafzimmer.
Geradeaus gelangt man in das Badezimmer, welches mit einer Duschwanne ausgestattet ist.
Im Flur befindet sich eine kleine Abstellkammer, mit Waschmaschinenanschluss.
Rechter Hand des Flures ist das Wohnzimmer, von welchem aus der nach Süden ausgerichtete Balkon zugänglich ist.

Der monatliche Erbpachtzins liegt bei 52,70 € pro Monat.
Die Laufzeit des Vertrages beträgt noch 42 Jahre.

Die Wohnung ist aktuell vermietet.",,,,, 58 m² ,,, Etagenwohnung , nach Absprache , 
,," 3 , 3 ",1973,"Das Haus-im-Haus-Prinzip ist besonders bei Familien mit Kindern sehr gefragt, da es versucht, die  Bezahlbarkeit  mit  dem  Wunsch nach individuellen Wohnen zu verbinden.

Bei der Gestaltung der quadratisch geschnittenen Vorgartenfläche haben Sie freie Hand bei der Gestaltung. Sie betreten über die eigene Haustür Ihren eigenen Hausflur.

Hervorzuheben ist ein großer Hobbyraum, der direkt über die Wohnung erreichbar ist!


Haben wir Ihr Interesse geweckt, fragen Sie nach dem ausführlichen Expose.

Wir laden Sie gerne zu einem Besichtigungstermin ein.",,,,," 104,4 m² ",,, Maisonette , 4 , 
,," 2 , 2 ",1961,"Die stilvolle Wohnung befindet sich im 2. Stock einer sehr gepflegten Wohnanlage in Oberschleißheim. Die Immobilie ist in einem erstklassigem Zustand. 
Sie betreten die Wohnung durch einen Flur, welcher Platz für eine kleine Garderobe bietet. Zur Linken gelangen Sie in das lichtdurchflutete, großräumige Wohn- und Esszimmer, welches direkt auf den Balkon in Süd-West Ausrichtung führt. Geradlinig befindet sich die voll ausgestattete, moderne Einbauküche mit Venylboden, welcher im Jahr 2018 erneuert worden ist. Zur Rechten befindet sich das helle Schlafzimmer, welches ebenfalls als Büro geeignet ist. Gegenüber gelangen Sie in das Badezimmer mit modernen Fliesen, welches ebenfalls im Jahr 2018 saniert worden ist. 
Zur Immobilie gehört ein eigenes Kellerabteil. Im Untergeschoss befindet sich ein Wasch- und Trockenraum sowie ein Fahrradraum zur gemeinschaftlichen Nutzung.

Das Apartment ist derzeit bewohnt und kann nach Vereinbarung gekauft und bezogen werden!",,,,," 50,38 m² ",, Verbrauchsausweis , Etagenwohnung , nach Vereinbarung , 
,," 3 , 3 ",1968,"Erstmalig und im exklusiven Alleinauftrag dürfen wir Ihnen diese ruhige, sehr gute Kapitalanlage mit  TG und kurzen Wegen zur Lohhofer S-Bahn empfehlen. 
3 Zimmer sehr konservativ ausgestattet, im 3. OG, gepflegt und überaus gemütlich, werden bewohnt durch eine sympathische Eigentümerin und TOP-Zuverlässige künftige Mieterin. (Kein Nießbrauch!)
Ein herrlicher Balkon - ausgerichtet nach Süd-Ost rundet das Angebot zusammen mit einem TG-Einzelstellplatz ab. 
Dieses Angebot ist ausschließlich für Anleger gedacht, die die Dame in ein unbefristetes Mietverhältnis ohne Eigenbedarfskündigungsrecht übernehmen. 
Die Eigentümerin/Mieterin zahlt dem Investor künftig monatlich für Ihre Wohnung eine Kaltmiete von monatlich 1400 .- € + Nebenkosten. 

Freuen Sie sich auf eine herrliche Rendite in guter Lage von Unterschleißheim.

Eine interessante Besichtigung wartet auf Sie.",,,,," 74,1 m² ",, Gas , Etagenwohnung , sofort , 
,," 4 , 4 ",1997,"Mitten in einer kleinen Wohnsiedlung in Taufkirchen wartet bereits Ihre zukünftige Traumimmobilie.

Die 4-Zimmer-Wohnung befindet sich im 3. Stock und somit im Dachgeschoss des 1997 erbauten Mehrfamilienhauses im Münchner Vorort Taufkirchen.
Nach erstem Schritt in die gepflegte Wohnung wird man bereits von dem großzügig geschnittenen, gefliesten Flur empfangen, von welchem man, abgesehen von der Küche, in jedes Zimmer gelangt. Auf der rechten, nach Osten ausgerichteten Seite befindet sich direkt neben der Tür das erste und größte der drei Schlafzimmer. Neben diesem ist auch gleich das zweite Zimmer zu finden, das für verschiedene Zwecke genutzt werden kann, wie z.B. als Kinderzimmer oder Büro. Folgt man der Diele, gelangt man zu dem großen und hellen Bad mit Fenster, in dem sich neben Waschbecken und WC sowohl Dusche, als auch eine gemütliche Eckbadewanne befinden. Direkt daneben ist das gehoben ausgestattete Gäste-WC. 
Am Ende des Flurs findet man den Eingang zum offenen und gut durchleuchteten Wohn- & Esszimmer, welches den Mittelpunkt der Wohnung darstellt und von dem aus man durch eine Verbindungstür in die separate Küche gelangt. Dazu kommt man von hier auf den großräumigen - und durch die optimale Westausrichtung tagsüber meist sonnigen - Balkon, der das Wohnzimmer mit dem dritten und letzten Schlafzimmer verbindet.
Durch das relativ flache Dach, das sich auch etwas über den Balkon zieht und diesen so teilweise vor Regen schützt,  werden raumeinnehmende Dachschrägen vermieden und lassen so mehr Spielraum bei der Innenausstattung zu.
Der Kaufpreis setzt sich wie folgt zusammen: Kaufpreis Dachgeschosswohnung 625.000 Euro + 1 TG-Stellplatz 15.000 Euro = Gesamtkaufpreis 640.000 Euro.",,,,," 99,8 m² ",, Verbrauchsausweis , Dachgeschoss , Spätestens Winter 2020 , 
,," 3 , 3 ",1972,"Die Wohnung befindet sich im 3. Obergeschoss eines 1972 erbauten Mehrfamilienhauses. Über den Aufzug gelangen Sie bequem zu dieser praktisch genschnittenen, sonnigen 3-Zimmer-Wohnung. Die großzügige Diele bietet ausreichend Platz für eine Garderobe und Kommoden.
Nebenan befindet sich die großzügige und moderne Wohnküche mit großer Fensterfront, von hier aus haben Sie Zugang in das helle Wohnzimmer. Durch die überdachten Süd-West-Loggia erfreuen Sie sich dort den ganzen Tag an wunderbarem Sonnenschein. Außerdem können Sie abends perfekt den Sonnenuntergang genießen und schöne Sommernächte verbringen. Das Schlaf- sowie das Kinderzimmer sind zum ruhigen Innenhof ausgerichtet, beide Zimmer sind ausreichend groß, sodass Sie genügend Möbel unterbringen. Im hell gefliesten Wannenbad haben Sie die Möglichkeit eine Waschmaschine zu platzieren, das WC ist separat.

Diese Wohnung bietet ein komfortables, stilvolles Wohnen; überzeugen Sie sich von diesem Wohnungsangebot bei einem unverbindlichen Besichtigungstermin.

Der Kaufpreis setzt sich wie folgt zusammen: Kaufpreis für die Etagenwohnung 480.000 € + 15.000 € für den Tiefagaragenstellplatz = 495.000 € Gesamtkaufpreis.",,,,," 79,84 m² ",, liegt vor , Etagenwohnung , nach Vereinbarung , 
,," 2,5 , 2,5 ",1972,"Die liebevoll renovierte 2,5-Zimmer-Wohnung befindet sich im 1.OG einer gepflegten Wohnanlage mit sanierter Tiefgarage.
Von der Diele erreicht man die Küche mit moderner, neuwertiger EBK und anthrazitfarbenen Steinfliesenboden sowie das Schlafzimmer/Kinderzimmer. Die bodentiefe Fensterfront im Wohnzimmer bietet viel Lichteinfall, von hier aus hat man Zugang zum großen, sonnigen SW-Balkon der zum relaxen einlädt. Das, an das Wohnzimmer angrenzende, Kinderzimmer/Büro/Gästezimmer ist mit einer Glasschiebetüre abgtrennt und bietet ebenfalls Zugang zum Balkon. Ein Highlight ist das komplett sanierte, schicke Bad mit luxuriöser Eckbadewanne und Dusche. Im Kellerbereich stehen den Bewohnern ein gemeinschaftlich genutzter Waschraum mit Münzwaschmaschine und Trockener sowie ein Fahrradraum zur Verfügung. Ein Duplexparker (in der komplett sanierten Tiefgarage) und ein Kellerraum gehören zur Wohnung.",,,,, 72 m² ,, Verbrauchsausweis , Etagenwohnung , sofort , 
